Date,CPI,FedFunds,All Employees (thousands),Unemployment Rate,Rate of Women in the Workforce,GDP (billions),Rate of Participation in Workforce,Real GDP per Capita ($),Hourly Wages for Private Employees ($)
2001-07-01,177.4,3.77,132173,4.6,59.7,10598.02,66.8,49774.0,
2001-08-01,177.4,3.65,132024,4.9,59.5,,66.5,,
2001-09-01,178.1,3.07,131765,5.0,59.6,,66.8,,
2001-10-01,177.6,2.49,131452,5.3,59.7,10660.465,66.7,49783.0,
2001-11-01,177.5,2.09,131141,5.5,59.8,,66.7,,
2001-12-01,177.4,1.82,130984,5.7,59.7,,66.7,,
2002-01-01,177.7,1.73,130853,5.7,59.5,10783.5,66.5,50091.0,
2002-02-01,178.0,1.74,130732,5.7,59.9,,66.8,,
2002-03-01,178.5,1.73,130720,5.7,59.7,,66.6,,
2002-04-01,179.3,1.75,130616,5.9,59.7,10887.46,66.7,50286.0,
2002-05-01,179.5,1.75,130632,5.8,59.6,,66.7,,
2002-06-01,179.6,1.75,130682,5.8,59.6,,66.6,,
2002-07-01,180.0,1.73,130585,5.8,59.5,10984.04,66.5,50362.0,
2002-08-01,180.5,1.74,130587,5.7,59.6,,66.6,,
2002-09-01,180.8,1.75,130498,5.7,59.7,,66.7,,
2002-10-01,181.2,1.75,130621,5.7,59.6,11061.433,66.6,50302.0,
2002-11-01,181.5,1.34,130617,5.9,59.5,,66.4,,
2002-12-01,181.8,1.24,130469,6.0,59.5,,66.3,,
2003-01-01,182.600,1.24,130580,5.8,59.7,11174.129,66.4,50462.0,
2003-02-01,183.600,1.26,130443,5.9,59.6,,66.4,,
2003-03-01,183.900,1.25,130232,5.9,59.7,,66.3,,
2003-04-01,183.200,1.26,130176,6.0,59.7,11312.766,66.4,50796.0,
2003-05-01,182.900,1.26,130196,6.1,59.7,,66.4,,
2003-06-01,183.100,1.22,130192,6.3,59.9,,66.5,,
2003-07-01,183.700,1.01,130184,6.2,59.5,11566.669,66.2,51512.0,
2003-08-01,184.5,1.03,130153,6.1,59.5,,66.1,,
2003-09-01,185.100,1.01,130252,6.1,59.1,,66.1,,
2003-10-01,184.9,1.01,130439,6.0,59.3,11772.234,66.1,51986.0,
2003-11-01,185.000,1.00,130482,5.8,59.2,,66.1,,
2003-12-01,185.500,0.98,130594,5.7,59,,65.9,,
2004-01-01,186.300,1.00,130766,5.7,59.1,11923.447,66.1,52179.0,
2004-02-01,186.700,1.01,130822,5.6,59.2,,66.0,,
2004-03-01,187.100,1.00,131139,5.8,59.3,,66.0,,
2004-04-01,187.400,1.00,131409,5.6,59.2,12112.815,65.9,52469.0,
2004-05-01,188.200,1.00,131693,5.6,59.3,,66.0,,
2004-06-01,188.900,1.03,131789,5.6,59.3,,66.1,,
2004-07-01,189.100,1.26,131850,5.5,59.3,12305.307,66.1,52835.0,
2004-08-01,189.200,1.43,131936,5.4,59,,66.0,,
2004-09-01,189.800,1.61,132083,5.4,59,,65.8,,
2004-10-01,190.8,1.76,132435,5.5,59,12527.214,65.9,53242.0,
2004-11-01,191.700,1.93,132509,5.4,59,,66.0,,
2004-12-01,191.700,2.16,132633,5.4,59.1,,65.9,,
2005-01-01,191.600,2.28,132779,5.3,59.1,12767.286,65.8,53719.0,
2005-02-01,192.400,2.50,133033,5.4,59.1,,65.9,,
2005-03-01,193.100,2.63,133154,5.2,59,,65.9,,
2005-04-01,193.700,2.79,133515,5.2,59.2,12922.656,66.1,53868.0,
2005-05-01,193.600,3.00,133687,5.1,59.3,,66.1,,
2005-06-01,193.700,3.04,133939,5.0,59.2,,66.1,,
2005-07-01,194.900,3.26,134297,5.0,59.2,13142.642,66.1,54153.0,
2005-08-01,196.100,3.50,134495,4.9,59.3,,66.2,,
2005-09-01,198.800,3.62,134552,5.0,59.4,,66.1,,
2005-10-01,199.100,3.78,134646,5.0,59.5,13324.204,66.1,54317.0,
2005-11-01,198.100,4.00,135001,5.0,59.3,,66.0,,
2005-12-01,198.100,4.16,135160,4.9,59.2,,66.0,,
2006-01-01,199.300,4.29,135425,4.7,59.1,13599.16,66.0,54927.0,
2006-02-01,199.400,4.49,135732,4.8,59.3,,66.1,,
2006-03-01,199.700,4.59,136041,4.7,59.2,,66.2,,20.05
2006-04-01,200.700,4.79,136210,4.7,59.2,13753.424,66.1,54945.0,20.15
2006-05-01,201.300,4.94,136247,4.6,59.2,,66.1,,20.13
2006-06-01,201.800,4.99,136328,4.6,59.5,,66.2,,20.23
2006-07-01,202.900,5.24,136522,4.7,59.6,13870.188,66.1,54886.0,20.29
2006-08-01,203.800,5.25,136688,4.7,59.5,,66.2,,20.32
2006-09-01,202.800,5.25,136825,4.5,59.3,,66.1,,20.41
2006-10-01,201.900,5.25,136849,4.4,59.4,14039.56,66.2,55216.0,20.43
2006-11-01,202.000,5.25,137068,4.5,59.5,,66.3,,20.49
2006-12-01,203.100,5.24,137251,4.4,59.5,,66.4,,20.57
2007-01-01,203.437,5.25,137475,4.6,59.5,14215.651,66.4,55260.0,20.59
2007-02-01,204.226,5.26,137556,4.5,59.4,,66.3,,20.68
2007-03-01,205.288,5.26,137782,4.4,59.4,,66.2,,20.73
2007-04-01,205.904,5.25,137842,4.5,58.9,14402.082,65.9,55474.0,20.78
2007-05-01,206.755,5.25,137993,4.4,59.1,,66.0,,20.84
2007-06-01,207.234,5.25,138072,4.6,59.3,,66.0,,20.95
2007-07-01,207.603,5.26,138042,4.7,59.3,14564.117,66.0,55649.0,20.95
2007-08-01,207.667,5.02,138017,4.6,59.2,,65.8,,21.00
2007-09-01,208.547,4.94,138103,4.7,59.5,,66.0,,21.04
2007-10-01,209.190,4.76,138175,4.7,59.2,14715.058,65.8,55857.0,21.06
2007-11-01,210.834,4.49,138291,4.7,59.4,,66.0,,21.12
2007-12-01,211.445,4.24,138396,5.0,59.4,,66.0,,21.17
2008-01-01,212.174,3.94,138397,5.0,59.5,14706.538,66.2,55497.0,21.20
2008-02-01,212.687,2.98,138326,4.9,59.3,,66.0,,21.26
2008-03-01,213.448,2.61,138256,5.1,59.5,,66.1,,21.36
2008-04-01,213.942,2.28,138037,5.0,59.4,14865.701,65.9,55705.0,21.38
2008-05-01,215.208,1.98,137847,5.4,59.6,,66.1,,21.47
2008-06-01,217.463,2.00,137689,5.6,59.5,,66.1,,21.51
2008-07-01,219.016,2.01,137492,5.8,59.4,14898.999,66.1,55278.0,21.60
2008-08-01,218.690,2.00,137209,6.1,59.6,,66.1,,21.70
2008-09-01,218.877,1.81,136759,6.1,59.4,,66.0,,21.72
2008-10-01,216.995,0.97,136294,6.5,59.6,14608.209,66.0,53941.0,21.76
2008-11-01,213.153,0.39,135546,6.8,59.5,,65.9,,21.87
2008-12-01,211.398,0.16,134848,7.3,59.5,,65.8,,21.94
2009-01-01,211.933,0.15,134066,7.8,59.4,14430.902,65.7,53221.0,21.96
2009-02-01,212.705,0.22,133314,8.3,59.5,,65.8,,21.99
2009-03-01,212.495,0.18,132494,8.7,59.5,,65.6,,22.06
2009-04-01,212.709,0.15,131825,9.0,59.4,14381.236,65.7,53017.0,22.09
2009-05-01,213.022,0.18,131470,9.4,59.4,,65.7,,22.11
2009-06-01,214.790,0.21,131003,9.5,59.5,,65.7,,22.14
2009-07-01,214.726,0.16,130661,9.5,59.4,14448.882,65.5,53081.0,22.18
2009-08-01,215.445,0.16,130480,9.6,59.2,,65.4,,22.23
2009-09-01,215.861,0.15,130241,9.8,58.9,,65.1,,22.27
2009-10-01,216.509,0.12,130061,10.0,58.8,14651.249,65.0,53531.0,22.30
2009-11-01,217.234,0.12,130059,9.9,58.9,,65.0,,22.35
2009-12-01,217.347,0.12,129807,9.9,58.6,,64.6,,22.36
2010-01-01,217.488,0.11,129795,9.8,58.8,14764.61,64.8,53683.0,22.41
2010-02-01,217.281,0.13,129702,9.8,58.9,,64.9,,22.45
2010-03-01,217.353,0.16,129865,9.9,58.8,,64.9,,22.46
2010-04-01,217.403,0.20,130115,9.9,58.9,14980.193,65.2,54100.0,22.49
2010-05-01,217.290,0.20,130645,9.6,58.8,,64.9,,22.53
2010-06-01,217.199,0.18,130501,9.4,58.5,,64.6,,22.53
2010-07-01,217.605,0.18,130420,9.4,58.4,15141.607,64.6,54401.0,22.59
2010-08-01,217.923,0.19,130423,9.5,58.6,,64.7,,22.62
2010-09-01,218.275,0.19,130340,9.5,58.5,,64.6,,22.67
2010-10-01,219.035,0.19,130620,9.4,58.4,15309.474,64.4,54569.0,22.74
2010-11-01,219.590,0.19,130754,9.8,58.6,,64.6,,22.73
2010-12-01,220.472,0.18,130836,9.3,58.3,,64.3,,22.76
2011-01-01,221.187,0.17,130839,9.1,58.3,15351.448,64.2,54341.0,22.86
2011-02-01,221.898,0.16,131054,9.0,58.1,,64.1,,22.87
2011-03-01,223.046,0.14,131278,9.0,58.3,,64.2,,22.87
2011-04-01,224.093,0.10,131604,9.1,58.3,15557.539,64.2,54610.0,22.91
2011-05-01,224.806,0.09,131704,9.0,58.1,,64.1,,22.98
2011-06-01,224.806,0.09,131936,9.1,58,,64.0,,23.01
2011-07-01,225.395,0.07,131992,9.0,58,15647.68,64.0,54482.0,23.10
2011-08-01,226.106,0.10,132123,9.0,58.1,,64.1,,23.07
2011-09-01,226.597,0.08,132346,9.0,58.3,,64.2,,23.12
2011-10-01,226.750,0.07,132557,8.8,58.1,15842.259,64.1,54979.0,23.20
2011-11-01,227.169,0.08,132701,8.6,58,,64.1,,23.19
2011-12-01,227.223,0.07,132902,8.5,57.8,,64.0,,23.22
2012-01-01,227.842,0.08,133243,8.3,57.7,16068.805,63.7,55342.0,23.25
2012-02-01,228.329,0.10,133521,8.3,57.8,,63.8,,23.28
2012-03-01,228.807,0.13,133745,8.2,57.8,,63.8,,23.36
2012-04-01,229.187,0.14,133828,8.2,57.6,16207.115,63.7,55490.0,23.39
2012-05-01,228.713,0.16,133935,8.2,57.7,,63.7,,23.40
2012-06-01,228.524,0.16,134008,8.2,57.7,,63.8,,23.46
2012-07-01,228.590,0.16,134153,8.2,57.6,16319.541,63.7,55454.0,23.50
2012-08-01,229.918,0.13,134329,8.1,57.6,,63.5,,23.48
2012-09-01,231.015,0.14,134512,7.8,57.6,,63.6,,23.57
2012-10-01,231.638,0.16,134672,7.8,57.7,16420.419,63.8,55403.0,23.56
2012-11-01,231.249,0.16,134831,7.7,57.6,,63.6,,23.63
2012-12-01,231.221,0.16,135074,7.9,57.7,,63.7,,23.73
2013-01-01,231.679,0.14,135263,8.0,57.5,16648.189,63.7,55859.0,23.75
2013-02-01,232.937,0.15,135548,7.7,57.3,,63.4,,23.78
2013-03-01,232.282,0.14,135690,7.5,57.2,,63.3,,23.80
2013-04-01,231.797,0.15,135876,7.6,57.3,16728.687,63.4,55914.0,23.87
2013-05-01,231.893,0.11,136090,7.5,57.3,,63.4,,23.89
2013-06-01,232.445,0.09,136269,7.5,57.4,,63.4,,23.96
2013-07-01,232.900,0.09,136391,7.3,57.3,16953.838,63.3,56272.0,23.98
2013-08-01,233.456,0.08,136634,7.2,57.3,,63.3,,24.02
2013-09-01,233.544,0.08,136819,7.2,57.1,,63.2,,24.06
2013-10-01,233.669,0.09,137039,7.2,56.8,17192.019,62.8,56642.0,24.09
2013-11-01,234.100,0.08,137312,6.9,56.9,,63.0,,24.16
2013-12-01,234.719,0.09,137367,6.7,57,,62.9,,24.18
2014-01-01,235.288,0.07,137551,6.6,57,17197.738,62.9,56345.0,24.23
2014-02-01,235.547,0.07,137710,6.7,57.2,,62.9,,24.33
2014-03-01,236.028,0.08,137987,6.7,57.2,,63.1,,24.32
2014-04-01,236.468,0.09,138298,6.2,57,17518.508,62.8,56968.0,24.34
2014-05-01,236.918,0.09,138500,6.3,57.1,,62.9,,24.40
2014-06-01,237.231,0.10,138833,6.1,56.9,,62.8,,24.46
2014-07-01,237.498,0.09,139076,6.2,56.9,17804.228,62.9,57536.0,24.48
2014-08-01,237.460,0.09,139257,6.1,56.9,,62.9,,24.54
2014-09-01,237.477,0.09,139564,5.9,56.8,,62.8,,24.55
2014-10-01,237.430,0.09,139804,5.7,57.1,17912.079,62.9,57702.0,24.58
2014-11-01,236.983,0.09,140088,5.8,57,,62.9,,24.66
2014-12-01,236.252,0.12,140366,5.6,56.7,,62.8,,24.62
2015-01-01,234.747,0.11,140562,5.7,56.9,18063.529,62.9,58121.0,24.75
2015-02-01,235.342,0.11,140831,5.5,56.6,,62.7,,24.79
2015-03-01,235.976,0.11,140925,5.4,56.6,,62.6,,24.86
2015-04-01,236.222,0.12,141202,5.4,56.7,18279.784,62.8,58376.0,24.89
2015-05-01,237.001,0.12,141539,5.6,56.9,,62.9,,24.97
2015-06-01,237.657,0.13,141695,5.3,56.8,,62.7,,24.97
2015-07-01,238.034,0.13,141989,5.2,56.6,18401.626,62.6,58486.0,25.00
2015-08-01,238.033,0.14,142130,5.1,56.7,,62.6,,25.09
2015-09-01,237.498,0.14,142265,5.0,56.4,,62.4,,25.11
2015-10-01,237.733,0.12,142584,5.0,56.6,18435.137,62.5,58470.0,25.19
2015-11-01,238.017,0.12,142810,5.1,56.8,,62.5,,25.25
2015-12-01,237.761,0.24,143083,5.0,56.8,,62.7,,25.24
2016-01-01,237.652,0.34,143196,4.8,56.9,18525.933,62.7,58704.0,25.38
2016-02-01,237.336,0.38,143411,4.9,56.8,,62.8,,25.38
2016-03-01,238.080,0.36,143666,5.0,57.1,,63.0,,25.45
2016-04-01,238.992,0.37,143856,5.1,56.9,18711.702,62.9,58787.0,25.53
2016-05-01,239.557,0.37,143901,4.8,56.8,,62.7,,25.58
2016-06-01,240.222,0.38,144152,4.9,56.6,,62.7,,25.62
2016-07-01,240.101,0.39,144515,4.8,56.6,18892.639,62.8,59084.0,25.69
2016-08-01,240.545,0.40,144664,4.9,56.8,,62.9,,25.72
2016-09-01,241.176,0.40,144961,5.0,56.8,,62.9,,25.77
2016-10-01,241.741,0.40,145069,4.9,56.8,19089.379,62.8,59296.0,25.89
2016-11-01,242.026,0.41,145188,4.7,56.7,,62.7,,25.90
2016-12-01,242.637,0.54,145410,4.7,56.7,,62.7,,25.92
2017-01-01,243.618,0.65,145636,4.7,56.9,19280.084,62.8,59494.0,26.00
2017-02-01,244.006,0.66,145848,4.6,57.0,,62.9,,26.07
2017-03-01,243.892,0.79,145976,4.4,57.2,,62.9,,26.11
2017-04-01,244.193,0.90,146173,4.4,57.2,19438.643,63.0,59736.0,26.17
2017-05-01,244.004,0.91,146389,4.4,57.1,,62.8,,26.21
2017-06-01,244.163,1.04,146588,4.3,57.0,,62.8,,26.26
2017-07-01,244.243,1.15,146772,4.3,57.2,19692.595,62.9,60099.0,26.36
2017-08-01,245.183,1.16,146907,4.4,57.1,,62.9,,26.38
2017-09-01,246.435,1.15,146999,4.3,57.2,,63.1,,26.49
2017-10-01,246.626,1.15,147146,4.2,56.8,20037.088,62.7,60674.0,26.49
2017-11-01,247.284,1.16,147375,4.2,57.0,,62.7,,26.53
2017-12-01,247.805,1.30,147521,4.1,56.8,,62.7,,26.61
2018-01-01,248.859,1.41,147667,4.0,56.7,20328.553,62.7,61093.0,26.73
2018-02-01,249.529,1.42,148054,4.1,57.1,,63.0,,26.75
2018-03-01,249.577,1.51,148280,4.0,56.9,,62.9,,26.86
2018-04-01,250.227,1.69,148426,4.0,56.9,20580.912,62.9,61336.0,26.91
2018-05-01,250.792,1.70,148755,3.8,56.9,,62.9,,26.98
2018-06-01,251.018,1.82,148968,4.0,57.2,,63.0,,27.04
2018-07-01,251.214,1.91,149023,3.8,57.4,20798.73,63.0,61622.0,27.09
2018-08-01,251.663,1.91,149274,3.8,56.9,,62.6,,27.20
2018-09-01,252.182,1.95,149361,3.7,57.1,,62.8,,27.32
2018-10-01,252.772,2.19,149525,3.8,57.3,20917.867,62.9,61619.0,27.37
2018-11-01,252.594,2.20,149622,3.8,57.3,,62.9,,27.44
2018-12-01,252.767,2.27,149804,3.9,57.4,,63.0,,27.55
2019-01-01,252.561,2.40,150062,4.0,57.5,21111.6,63.1,61939.0,27.59
2019-02-01,253.319,2.40,150067,3.8,57.6,,63.1,,27.71
2019-03-01,254.277,2.41,150294,3.8,57.4,,63.0,,27.80
2019-04-01,255.233,2.42,150602,3.7,57.1,21397.938,62.8,62385.0,27.78
2019-05-01,255.296,2.39,150640,3.6,57.1,,62.9,,27.86
2019-06-01,255.213,2.38,150844,3.6,57.2,,63.0,,27.95
2019-07-01,255.802,2.40,150934,3.7,57.2,21717.171,63.1,63022.0,28.02
2019-08-01,256.036,2.13,151155,3.6,57.4,,63.1,,28.13
2019-09-01,256.430,2.04,151358,3.5,57.6,,63.2,,28.17
2019-10-01,257.155,1.83,151458,3.6,57.7,21933.217,63.3,63360.0,28.23
2019-11-01,257.879,1.55,151666,3.6,57.6,,63.3,,28.35
2019-12-01,258.630,1.55,151792,3.6,57.8,,63.3,,28.37
2020-01-01,258.906,1.55,152045,3.6,57.9,21727.657,63.3,62416.0,28.44
2020-02-01,259.246,1.58,152309,3.5,58.0,,63.3,,28.55
2020-03-01,258.150,0.65,150898,4.4,57.2,,62.6,,28.77
2020-04-01,256.126,0.05,130421,14.8,54.6,19935.444,60.1,57449.0,30.01
2020-05-01,255.848,0.05,133040,13.2,55.2,,60.8,,29.72
2020-06-01,257.004,0.08,137655,11.0,56.0,,61.5,,29.38
2020-07-01,258.408,0.09,139240,10.2,56.1,21684.551,61.5,61915.0,29.38
2020-08-01,259.366,0.10,140774,8.4,56.0,,61.7,,29.48
2020-09-01,259.951,0.09,141820,7.8,55.7,,61.5,,29.51
2020-10-01,260.249,0.09,142493,6.8,55.9,22068.767,61.7,62554.0,29.54
2020-11-01,260.895,0.09,142761,6.7,55.9,,61.5,,29.63
2020-12-01,262.005,0.09,142518,6.7,56.0,,61.5,,29.90
2021-01-01,262.518,0.09,142916,6.4,55.7,22656.793,61.3,63428.0,29.93
2021-02-01,263.583,0.08,143443,6.2,55.9,,61.4,,30.06
2021-03-01,264.910,0.07,144274,6.1,56.2,,61.5,,30.06
2021-04-01,266.752,0.07,144593,6.1,56.1,23368.861,61.6,64392.0,30.21
2021-05-01,268.452,0.06,145044,5.8,55.9,,61.5,,30.39
2021-06-01,270.664,0.08,145822,5.9,56.1,,61.7,,30.54
2021-07-01,271.994,0.10,146761,5.4,56.1,23921.991,61.8,64877.0,30.65
2021-08-01,272.789,0.09,147226,5.1,56.1,,61.8,,30.77
2021-09-01,273.887,0.08,147706,4.7,56.0,,61.7,,30.95
2021-10-01,276.434,0.08,148566,4.5,56.1,24777.038,61.8,65986.0,31.15
2021-11-01,278.799,0.08,149197,4.1,56.3,,61.9,,31.24
2021-12-01,280.808,0.08,149763,3.9,56.5,,62.0,,31.40
2022-01-01,282.390,0.08,150014,4.0,56.8,25215.491,62.2,65779.0,31.63
2022-02-01,284.535,0.08,150876,3.8,56.7,,62.2,,31.65
2022-03-01,287.553,0.20,151370,3.6,56.9,,62.3,,31.84
2022-04-01,288.764,0.33,151642,3.7,56.7,25805.791,62.2,65760.0,31.95
2022-05-01,291.359,0.77,151928,3.6,56.9,,62.3,,32.08
2022-06-01,294.996,1.21,152348,3.6,56.8,,62.2,,32.20
2022-07-01,294.977,1.68,153038,3.5,56.8,26272.011,62.1,66115.0,32.33
2022-08-01,295.209,2.33,153281,3.6,57.1,,62.4,,32.44
2022-09-01,296.341,2.56,153536,3.5,56.8,,62.3,,32.54
2022-10-01,297.863,3.08,153897,3.6,56.6,26734.277,62.3,66575.0,32.70
2022-11-01,298.648,3.78,154155,3.6,56.5,,62.1,,32.83
2022-12-01,298.812,4.10,154291,3.5,56.8,,62.3,,32.94
2023-01-01,300.356,4.33,154773,3.4,57.1,27164.359,62.4,66967.0,33.07
2023-02-01,301.509,4.57,155060,3.6,57.2,,62.5,,33.15
2023-03-01,301.744,4.65,155206,3.5,57.2,,62.6,,33.31
2023-04-01,303.032,4.83,155484,3.4,57.3,27453.815,62.6,67295.0,33.44
2023-05-01,303.365,5.06,155787,3.7,57.3,,62.6,,33.54
2023-06-01,304.003,5.08,156027,3.6,57.3,,62.6,,33.70
2023-07-01,304.628,5.12,156211,3.5,57.4,27967.697,62.6,67916.0,33.84
2023-08-01,306.187,5.33,156421,3.8,57.6,,62.8,,33.91
2023-09-01,307.288,5.33,156667,3.8,57.5,,62.8,,34.01
2023-10-01,307.531,5.33,156832,3.8,57.6,28296.967,62.7,68351.0,34.10
2023-11-01,308.024,5.33,157014,3.7,57.4,,62.8,,34.23
2023-12-01,308.742,5.33,157304,3.7,57.1,,62.5,,34.34
2024-01-01,309.685,5.33,157560,3.7,57.5,28624.069,62.5,68549.0,34.51
2024-02-01,311.054,5.33,157796,3.9,57.6,,62.5,,34.56
2024-03-01,312.230,5.33,158106,3.8,57.6,,62.7,,34.69
2024-04-01,313.207,5.33,158214,3.9,57.7,29016.714,62.7,68977.0,34.75
2024-05-01,313.225,5.33,158430,4.0,57.6,,62.5,,34.88
2024-06-01,313.049,5.33,158548,4.1,57.3,,62.6,,34.99
2024-07-01,313.534,5.33,158692,4.3,57.5,29349.924,62.7,69357.0,35.07
2024-08-01,314.121,5.33,158770,4.2,57.8,,62.7,,35.22
2024-09-01,314.686,5.13,158993,4.1,57.6,,62.7,,35.33
2024-10-01,,4.83,159005,4.1,57.3,,62.6,,35.46
